,Track Name,Song Popularity,Album,Song Release Date,Duration (ms),Artists,Explicit,Song Rank,Artist ID,Genres,Followers,Popularity,Lyrics,Total Artists On Song,Lyrics Word Count,neg,neu,pos,compound,Simplified Genre,Ranking Group,Top 10 Song,Duration (ms)_transf,Followers_transf,Lyrics Word Count_transf
0,"Good Luck, Babe!",0.93,"Good Luck, Babe!",2024-04-05,218423.0,Chappell Roan,False,1,7GlBOeep6PqTfFi59PTUUN,indie pop,4252813,0.88," It's fine, it's cool You can say that we are nothing, but you know the truth And guess I'm the fool With her arms out like an angel through the car sunroof  I don't wanna call it off But you don't wanna call it love You only wanna be the one that I call ""baby""  You can kiss a hundred boys in bars Shoot another shot, try to stop the feeling You can say it's just the way you are Make a new excuse, 'nother stupid reason Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling  I'm cliché, who cares? It's a sexually explicit kind of love affair And I cry, it's not fair I just need a little lovin', I just need a little air",1.0,165,0.121,0.454,0.426,0.9977,Indie/Alternative,1-10,1,0.44522910386404035,0.7044132255259671,0.7243816068435315
1,Not Like Us,0.88,Not Like Us,2024-05-04,274192.0,Kendrick Lamar,True,2,2YZyLoL8N0Wb9xBt1NhZWg,"conscious hip hop, hip hop, rap, west coast rap",35199421,0.97," Psst, I see dead people ( Mustard on the beat, ho )  Ayy, Mustard on the beat, ho Deebo any rap nigga, he a free throw Man down, call an amberlamps, tell him, ""Breathe, bro"" Nail a nigga to the cross, he walk around like Teezo What's up with these jabroni-ass niggas tryna see Compton? The industry can hate me, fuck 'em all and they mama How many opps you really got? I mean, it's too many options I'm finna pass on this body, I'm John Stockton Beat your ass and hide the Bible if God watchin' Sometimes you gotta pop out and show niggas Certified boogeyman, I'm the one that up the score with 'em Walk him down, whole time, I know he got some ho in him Pole on him, extort shit, bully Death Row on him Say, Drake, I hear you like 'em young You better not ever go to cell block one To any bitch that talk to him and they in love Just make sure you hide your lil' sister from him They tell me Chubbs the only one that get your hand-me-downs And Party at the party playin' with his nose now And Baka got a weird case, why is he around? Certified Lover Boy? Certified pedophiles Wop, wop, wop, wop, wop, Dot, fuck 'em up Wop, wop, wop, wop, wop, I'ma do my stuff Why you trollin' like a bitch? Ain't you tired? Tryna strike a chord and it's probably A minor",1.0,249,0.17,0.719,0.111,-0.9593,Hip Hop/Rap,1-10,1,0.6161429257586892,0.8879099879243025,0.7824049855742441
2,A Bar Song (Tipsy),0.86,A Bar Song (Tipsy),2024-04-12,171291.0,Shaboozey,True,3,3y2cIKLjiOlp1Np37WiUdH,"modern country pop, pop rap",863160,0.81," My baby want a Birkin, she's been tellin' me all night long Gasoline and groceries, the list goes on and on This  nine-to-five ain't workin ', why the hell do I work so hard? I can't worry 'bout my problems, I can't take 'em when I'm gone, uh  One, here comes the two to the three to the four Tell 'em ""Bring another round,"" we need plenty more Two-steppin' on the table, she don't need a dance floor Oh my, good Lord  Someone pour me up a double shot of whiskey They know me and Jack Daniеl's got a history There's a party downtown near 5th Street Evеrybody at the bar gettin' tipsy Post- Everybody at the bar gettin' tipsy Everybody at the bar gettin' tipsy  I've been Boozey since I left I ain't changin' for a check Tell my ma I ain't forget (Oh, Lord), I Woke up drunk at 10 a.m.​ We gon' do this shit again Tell your girl to bring a friend, oh, Lord",1.0,168,0.085,0.84,0.076,-0.5639,Pop,1-10,1,0.26253416265533325,0.5659529520077174,0.7269196304663325
3,Espresso,0.88,Short n' Sweet,2024-08-23,175459.0,Sabrina Carpenter,True,4,74KM79TiuVKeVCqs8QtB0B,pop,16270682,0.94," Now he's thinkin' 'bout me every night, oh Is it that sweet? I guess so Say you can't sleep, baby, I know That's that me espresso Move it up, down, left, right, oh Switch it up like Nintendo Say you can't sleep, baby, I know That's that me espresso  I can't relate to desperation My give-a-fucks are on vacation And I got this one boy and he won't stop calling When they act this way, I know I got 'em  (Mm) Too bad your ex don't do it for ya (Mm) Walked in and dream-came-trued it for ya (Mm) Soft skin and I perfumed it for ya (Yes) I know I Mountain Dew it for ya (Yes) That morning coffee, brewed it for ya (Yes) One touch and I brand-newed it for ya (Ooh)  And now he's thinkin' 'bout me every night, oh Is it that sweet? I guess so Say you can't sleep, baby, I know That's that me espresso Move it up, down, left, right, oh Switch it up like Nintendo Say you can't sleep, baby, I know That's that me espresso",1.0,184,0.017,0.864,0.118,0.954,Pop,1-10,1,0.280604140622696,0.8209114465396213,0.7397376319009072
4,BIRDS OF A FEATHER,0.96,HIT ME HARD AND SOFT,2024-05-17,210373.0,Billie Eilish,False,5,6qqNVTkY8uBg9cP3Jd7DAH,"art pop, pop",103752739,0.96,"  I want you to stay 'Til I'm in the grave 'Til I rot away, dead and buried 'Til I'm in the casket you carry If you go, I'm goin' too, uh 'Cause it was always you (Alright) And if I'm turnin' blue, please don't save me Nothin' left to lose without my baby Refrain Birds of a feather, we should stick together ,  I know I said I'd never think I wasn't better alone Can't change the weather, might not be forever But if it's forever, it's even better  And I don't know what I'm cryin' for I don't think I could love you more It might not be long, but baby, I  I'll love you 'til the day that I die 'Til the day that I die 'Til the light leaves my eyes 'Til the day that I die",1.0,140,0.15,0.727,0.123,-0.6953,Pop,1-10,1,0.41700487219881843,0.9817644017918933,0.7012518006087477
5,Too Sweet,0.78,Unreal Unearth: Unaired,2024-08-19,251424.0,Hozier,False,6,2FXC3k01G6Gw61bmprjgqS,"irish singer-songwriter, modern rock, pop, pov: indie",8172167,0.86," It can't be said I'm an early bird It's 10 o'clock before I say a word Baby, I can never tell How do you sleep so well? You keep tellin' me to live right To go to bed before the daylight But then you wake up for the sunrise You know you don't gotta pretend Baby, now and then  Don't you just wanna wake up, dark as a lake Smellin' like a bonfire, lost in a haze? If you're drunk on life, babe, I think it's great But while in this world  I think I'll take my whiskey neat My coffee black   and my bed at 3 You're too sweet for me You're too sweet for me I take my whiskеy neat My coffee black and my bed at 3 You're too sweet for mе You're too sweet for me",1.0,140,0.035,0.75,0.214,0.9855,Rock,1-10,1,0.5509869172850053,0.7611222060217059,0.7012518006087477
6,Nasty,0.73,Nasty,2024-04-12,176027.0,Tinashe,False,7,0NIIxcxNHmOoyBx03SfTCD,"alternative r&b, dance pop, metropopolis, pop, r&b",2894523,0.73," 'Cause it feels like Heaven when it hurts so bad Baby, put it on me, I like it just like that, just like that  I've been a nasty girl, nasty I've been a nasty girl, nasty I've been a nasty girl, nasty I've been a nasty, nasty, nasty  Is somebody gonna match my freak? Is somebody gonna match my freak? Is somebody gonna match my nasty? I got stamina, they say I'm an athlete Is somebody gonna match my freak? (Match my freak) Need somebody with a good technique (Good technique) Is somebody gonna match my nasty? Pillow talking got my throat raspy  If you keep up with me, I'll keep on comin' back If you do it too good, I'm gonna get attached 'Cause it feels like Heaven when it hurts so bad Baby, put it on me, I like it just like that, just like that  I'vе been a nasty girl, nasty I've been a nasty girl, nasty (Just like that) I've been a nasty girl, nasty I'vе been a nasty, nasty, nasty (I like it just like that) I've been a nasty girl, nasty I've been a nasty girl, nasty (Just like that) I've been a nasty girl, nasty I've been a nasty, nasty, nasty  Big time, pull up, make a scene Party's lame, no vibe, we can leave Shotgun, my thighs on the seat I ain't got nothin' underneath (Ooh) Looks like you're 'bout to spend the night (Match my, match my freak) Looks like I'm 'bout to change your life (Match my, match my freak) Wife type, he's staying for a week So I might just let him pay the lease  If you keep up with me, I'll keep on comin' back (Oh-woah-woah) If you do it too good, I'm gonna get attached (Oh-woah-woah) 'Cause it feels like Heaven when it hurts so bad Baby, put it on me, I like it just like that (Like it), just like that  I've been a nasty girl, nasty I've been a nasty girl, nasty (Just like that) I've been a nasty girl, nasty I've been a nasty, nasty, nasty (I like it just like that) I've been a nasty girl, nasty I've been a nasty girl, nasty (Just like that) I've been a nasty girl, nasty (Oh) I've been a nasty, nasty, nasty  If you keep up with me, I'll keep on comin' back If you do it too good, I'm gonna get attached 'Cause it feels like Heaven when it hurts so bad Baby, put it on me, I like it just like that (Like it just like that), just like that Outro (Oh, ah, oh, ah) Nasty, nasty, nasty (Oh, ah, oh, ah) Nasty, nasty, nasty (Oh, ah, oh, ah) Nasty, nasty, nasty (Oh, ah, oh, ah) Nasty, nasty, nasty",1.0,465,0.373,0.485,0.142,-0.9995,Pop,1-10,1,0.2830333568927781,0.6710070447663091,0.870646653837909
7,Pink Skies,0.84,Pink Skies,2024-05-24,194920.0,Zach Bryan,False,8,40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country,5689301,0.9," The kids are in town for a funeral So pack the car and dry your eyes I know they got plenty of young blood left in 'em And plenty nights under pink skies you taught 'em to enjoy  So clean the house, clear the drawers, mop the floors, stand tall Like no one's ever been here before or at all And don't you mention all the inches that are scraped on the doorframe We all know you tiptoed up to 4'1"" back in '08  If you could see 'em now, you'd be proud But you'd think they's yuppiеs Your funeral was beautiful I bet God hеard you comin' Verse 3 The kids are in town for a funeral And the grass all smells the same as the day you broke your arm swingin' On that kid out on the river You bailed him out, never said a thing about Jesus or the way he's livin'  If you could see 'em now, you'd be proud But you'd think they's yuppies Your funeral was beautiful I bet God heard you comin'",1.0,179,0.08,0.781,0.139,0.9041,Country,1-10,1,0.35966191182721907,0.7296794091854527,0.7358551279181207
8,"Girl, so confusing featuring lorde",0.69,Brat and it’s completely different but also still brat,2024-10-11,205938.0,Charli xcx,False,9,25uiPmTg16RbhZWAqwLBy5,"art pop, candy pop, metropopolis, pop, uk pop",4579259,0.87," Girl, it's so confusing sometimes to be a girl Girl, girl, girl, girl Girl, it's so confusing sometimes to be a girl Girl, girl, girl, girl Girl, how do you feel being a girl? Girl, girl, girl How do you feel being a girl? Girl, girl, girl Man, I don't know, I'm just a girl Girl, girl, girl, girl  Yeah, I don't know if you like me Sometimes I think you might hate me Sometimes I think I might hate you Maybe you just wanna be me You always say, ""Let's go out"" So we go eat at a restaurant Sometimes it feels a bit awkward 'Cause we don't have much in common  People say we're alike They say we've got the same hair We talk about making music But I don't know if it's honest Can't tell if you wanna see me Falling over and failing And you can't tell what you're feeling I think I know how you feel",2.0,161,0.092,0.853,0.054,-0.686,Electronic/Experimental,1-10,1,0.40099020008246455,0.7108343814208563,0.7209252762068324
9,Right Back to It,0.58,Tigers Blood,2024-03-22,273026.0,Waxahatchee,False,10,5IWCU0V9evBlW4gIeGY4zF,"alabama indie, bubblegrunge, chamber pop, countrygaze, indie pop, indie rock",236526,0.57, Katie Crutchfield Photograph of us In a spotlight On a hot night I was drifting in and out Reticent on the off chance I'm blunter than a bullseye Begging for peace of mind  Katie Crutchfield I get ahead of myself Bracing for a bombshell  Katie Crutchfield Your love written on a blank check Wear it around your neck I was at a loss But you come to me on a fault line Deep inside a goldmine Hovering like a moth  Katie Crutchfield I lose a bit of myself Laying out eggshells  Katie Crutchfield & MJ Lenderman I've been yours for so long We come right back to it I let my mind run wild Don't know why I do it But you just settle in Like a song with no end If I can keep up We'll get right back to it Verse 3 Katie Crutchfield If I swerve in and out of my lane Burning up an old flame Turn a jealous eye I'll fall down into a fair game Lick a wound that was not Ever mine  Katie Crutchfield I get ahead of myself Refusing anyone's help  Katie Crutchfield & MJ Lenderman I've been yours for so long We come right back to it I let my mind run wild I don't know why I do it But you just settle in Like a song with no end If I can keep up We'll get right back to it Instrumental Break  Katie Crutchfield & MJ Lenderman I've been yours for so long We come right back to it I let my mind run wild Don't know why I do it But you just settle in Like a song with no end If I can keep up We'll get right back to it We'll get right back to it We'll get right back to it,2.0,306,0.073,0.851,0.076,0.0387,Indie/Alternative,1-10,1,0.612939864711695,0.45355671469380165,0.811508819131814
10,YA YA,0.62,COWBOY CARTER,2024-03-29,274766.0,Beyoncé,True,11,6vWDO969PvNqNYHIOW5v0m,"pop, r&b",39186276,0.87," Hello, girls ( Hello,  ) Hello, fellas ( You're pretty swell ) Those petty ones can't fuck with me   ( Why? ) 'Cause I'm a clever girl, we snappin' ( Pretty please )   Toms, please We wanna welcome you to the   Cowboy Carter Act II , ah And a rodeo chitlin circuit We gon' make it do what it do, ya-ya Put them hands together  We clappin' We drummin'   ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) Oh, oh, ya-ya-ya ( Oh, ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) Oh, ya-ya-ya-ya-ya-ya-ya-ya-ya-ya ( Oh, ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) Ya-ya-ya-ya   ( Oh, ya ) (Ya-ya)   B-E-Y-I-N-C-E , ya  My family live and died in America, hm Good ol' USA, shit (Good ol' USA) Whole lotta red in that white and blue, huh History can't be erased, ooh You lookin' for a new America? (America) Are you tired, workin' time and a half for half the pay? (Woo-hoo) Ya-ya (Half the pay, oh-oh) I just pray that we don't crash, keep my Bible on the dash We gotta keep the faith Wildfire burnt his house down Insurance ain't gon' pay no Fannie Mae, shit So hold this holster, pour mo' liquor, please Hard workin' man ain't got no money in the bank Huh, the ya-ya Turn up the vinyl and the radio (Radio) He can't watch the news nowadays (Nowadays) Oh, I just pray that he don't crash, keep his pistol on the dash He gotta keep the faith Refrain She's pickin' up good vibrations He's lookin' for sweet sensations  Ladies? ( Yeah? ) Fuck it,   we shakin' ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) We swimmin' ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) We jerkin' ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) We twerkin' ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) You wanna touch it, don't you? ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) Come get this genie in a bottle ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) Come rub it, won't you? ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) I pop it ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) I walk it like I talk it ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) I got your spurs sparkin' ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) Ya-ya-ya-ya-ya, oh Post- Let loose Do what you do, baby, Good God  I don't wanna hear no ya-ya-ya-ya-ya-ya-ya-ya I got you daydreamin' Put your lips on my lips And strum me like a guitar La-la-la-la-la-la-la-la, you got me movin', boy You got me ooh-in', you might know what you're doin' (Ooh-ooh) Put them babies to bed (Oh-oh) We sweat out the sheets (Oh) Got you up all night and now you don't wanna leave I can soothe your pain, yeah When I'm long gone, you'll call my name, yeah World of Wind got you insane, yeah It's givin' me the faith",1.0,436,0.062,0.775,0.162,0.9913,Pop,11-20,0,0.6177147331257302,0.8972258713106086,0.8615419206196062
11,Type Shit,0.83,WE DON'T TRUST YOU,2024-03-22,228266.0,Future,True,12,1RyvyyTE3xzB2ZywiAwp0i,"atl hip hop, hip hop, rap, southern hip hop, trap",19606127,0.93," Future Yeah, yeah, Pluto  Future I don't hang with rats, that's some new type shit Get a nigga whacked on the news type shit Sippin' drank and Actavis on some Screw type shit Just a sad ho runnin' through the crew type shit I got a bad bitch at home, voodoo type shit Take down Meg Thee Stallions by the group type shit  Future That's some thick shit, I just thought you knew type shit I just tricked off, I don't just usually do this type of shit Pockets racked up, all blue type shit Bunch of rich niggas, hoes get confused type shit Atlanta nigga, I live like Ted Turner type shit On camera, knockin' jaws loose typе shit I canceled her, kick hеr out the stu' type shit A silent hitter, I just keep it cool with you bitches A solid nigga, countin' dog food type shit Movin' through the city with your boo type shit She's ready to suck it up like soup type shit You goin' against the guys and you gon' lose type shit Pray to God they knock you out your shoes type shit (Type shit)  Travis Scott Pop it, pop it, right up out the blue type shit Put the Double O in a mood Serotonin, that's a cool type mix Oxycontin, mix it with balloons (Alright) East Atlanta feelin' like a zoo type mix (Open up) Shawty, shawty strippin', takin' shrooms Eatin' all the Percs, on some food type shit (Open up) Shawty make it work, 9-to-5 type shit (Open up) Eatin' all the Perkies, on some food type shit (Open up) Eatin' all the Perkies, on some food type shit (Going up) All the homies crushin' on some fool type— (Going up) Floodin' out the spot, it's like a pool type mix (Add it up) All the homies crushin' on some fool type shit (Going up) All the homies crushin' on some fool type— (Open up) Eatin' all the Perkies, on some food type shit Feelin' so high, I'm on the moon type shit Bridge Future, Playboi Carti & Travis Scott Kick the slow flow, jitsu type shit (Open it up, add it up) Red lock in my dreadlocks, I'm on bool type shit (Fuck it up, add it up) Cook a nigga up like food type shit (Fuck it up, fuck it up) Posted up with my dogs, Scooby Doo type shit (Fuck it up, woo)  3 Playboi Carti & Future She grippin' all on my balls, I gotta move type shit Diamonds, they cover my flaws, I'm actin' brand new type shit Hundred round drum, make it burst, soundin' like a nuke type shit All of my jeans is saggin', I think I'm over tight shit Put the ho down with the gang, now she think she my manager type shit Shawty thought she was the one, I will forever have a boss bitch The presi' set on me plain, I'm on some naked type shit Eighty-one thou' for the teeth, I still ain't smiling for this bitch This ho think she better than me? She on that IG model shit Shawty said I'm a superhero, so how the fuck I'ma hide from shit? Bitch give me dome in the back, she on her bobblehead type shit All I want is ass and titties, I ain't got no type, shit Sippin' on drank, Pluto, hold up Sippin' my drank, Metro Sittin' right here with my yayo type shit Might put some diamonds in my gloves, woah, on my Mike shit What the fuck y'all talking about bodies for? Y'all just type shit (Pluto)  Future I don't hang with rats, that's some new type shit (New type shit) Get a nigga whacked on the news type shit Sippin' drank and Actavis on some Screw type shit Just a sad ho runnin' through the crew type shit I got a bad bitch at home, voodoo type shit Take down Meg Thee Stallions by the group type shit  Playboi Carti, Future & Travis Scott Tags all over my shirt, uh, rockstar type shit (Open it up, open it up) Molly all in my dreads, uh, Rasta type shit (Open it up, open it up) 'Bout to take a ho to Turks, she a monster type shit (Type shit) She don't speak no English, money talk type shit She fuck me, ran her mouth 'cause I'm a boss type shit (Woo)",4.0,738,0.309,0.635,0.056,-0.9998,Hip Hop/Rap,11-20,0,0.47835888441971797,0.8371020331300129,0.9359874318469275
12,we can't be friends (wait for your love),0.86,eternal sunshine,2024-03-08,228639.0,Ariana Grande,False,13,66CXWjxzNUsdJxJ2JdwvnR,pop,101847447,0.95," I didn't think you'd understand me How could you ever even try? I don't wanna tiptoe, but I don't wanna hide But I don't wanna feed this monstrous fire Just wanna let this story die And I'll be alright  We can't be friends But I'd like to just pretend You cling to your papers and pens Wait until you like me again Post- Wait for your love Lo-love, I'll wait for your love  Me and my truth, we sit in silence Mm Baby girl, it's just me and you 'Cause I don't wanna argue,  but I don't wanna bite My tongue, yeah, I think I'd rather die You got me misunderstood But at least I look this good",1.0,118,0.137,0.641,0.222,0.9248,Pop,11-20,0,0.47958606673083004,0.9801551754116237,0.6772138938064193
13,Docket (feat. Bully),0.48,Docket (feat. Bully),2024-03-26,210493.0,Blondshell,False,14,7qrEXiLLnWkkYHhadZ1Oij,"bubblegrunge, indie pop",82751,0.49," Blondshell, Bully & Blondshell I said, 'Don't shake my hand, it's wet,' He said, 'I'll kiss it instead' He said, 'I saw the whole show I'm not scared of the sweat' But I'm scared of the touching I have someone at home And I want his body more When he leaves me alone  Blondshell Isn't it wrong? When I'm gone I look around at the options I put men on the docket Give me a curse I caught a bug He should be with someone who’s more in love Not someone eating for free My worst nightmare is mе  Bully, Bully & Blondshell I always end up back here Stuck somеhow Obvious I’m powerless When you’re around And I don’t know why I see her in the sun Staring straight to the sky Burning me just for fun See upcoming rock shows Get tickets for your favorite artists You might also like I LUV IT Camila Cabello & Playboi Carti LEVII’S JEANS Beyoncé & Post Malone BODYGUARD Beyoncé  Bully & Blondshell Isn’t it wrong When I’m gone I look around at the options I put men on the docket Give me a curse I caught a bug He should be with someone who’s more in love Not someone eating for free My worst nightmare is me Bridge Blondshell, Bully & Blondshell Feeling like it’s twisted Feeling like he’s been fishing I should probably cut him loose instead of kissing I don’t wanna want what I haven’t got but it Kills the lull when I’m not full When I’m not full I fill the space with barbasol And I’m here and I’m fading You’re wrong for waiting And it’s cruel to let you love me I don’t want what I need  Bully & Blondshell Isn’t it wrong When I’m gone I look around at the options I put men on the docket Give me a curse I caught a bug He should be with someone who’s more in love Not someone eating for free My worst nightmare is me",2.0,338,0.207,0.624,0.168,-0.9753,Indie/Alternative,11-20,0,0.41743348320767915,0.36237357166632744,0.8255589594457163
14,euphoria,0.78,euphoria,2024-04-30,383639.0,Kendrick Lamar,True,15,2YZyLoL8N0Wb9xBt1NhZWg,"conscious hip hop, hip hop, rap, west coast rap",35199421,0.97,"Part I  ​eurt si em tuoba yas yeht gnihtyrevE Euphoria Verse Them super powers gettin' neutralized, I can only watch in silence The famous actor we once knew is lookin' paranoid and now is spiralin' You're movin' just like a degenerate, every antic is feelin' distasteful I calculate you're not as calculated, I can even predict your angle Fabricatin' stories on the family front 'cause you heard  Mr. Morale A pathetic master manipulator, I can smell the tales on you now You'rе not a rap artist, you a scam artist with the hopes of being accеpted Tommy Hilfiger stood out, but FUBU never had been your collection I make music that electrify 'em, you make music that pacify 'em I can double down on that line, but spare you this time, that's random acts of kindness Know you a master manipulator and habitual liar too But don't tell no lie about me and I won't tell truths 'bout you Part II  Shoo, shoo, shoo Shoo, shoo, shoo Bee, bee, bee, bee, bee, bee",1.0,173,0.072,0.849,0.079,0.1114,Hip Hop/Rap,11-20,0,0.8685911147001821,0.8879099879243025,0.7310511922488585
15,Genesis.,0.59,Genesis.,2024-06-07,420000.0,RAYE,True,16,5KKpBU5eC2tJDzf0wmlRp2,"uk contemporary r&b, uk pop",1843860,0.8,"Part I  They say the twenties are the best years of your life But I seem to be spending mine missing sunsets 'Cause I'm busy on my phone observing everyone else How I compare and obsess Just me, my phone, and these walls And I've been sober for some months But I can feel the demons waiting on my downfall Since I'm so ugly and irrelevant I've been losing friends as if I'm tryna get rid of them I Googled why I'm still desperatе for validation and sedatives, huh Callin' men who don't givе a fuck about me Then when my mother called I pretend I'm busy I'm tryna end up anywhere except from where I been Curtains closed, bed bound, amphetamines Mmm, and this devil on my shoulder, man, I'm tryna to shake him off My ex is on my timeline, it's as if he's showing off My self-esteem is Facetune and ring lights My ego is conquering new heights  I think I need some (Think I need some) Do you need some? (Do you need some?) Don't we all need some (We all need some) Light? (Let there be light) Da-da-da, da-da-da (There'll be light) I think I need some (Think I need some) I lied, I don't think I (Know I need some) I need some light (Some sweet sunshine) To feel alright (Please, let there be light) Part II  I see a sad little sinner in the mirror The devil works hard like my liver I don't wanna be alive, but I don't wanna die A fistful of pills, you're a nobody Post- Yeah (Uh-uh), yeah (Uh, uh-uh), yeah Yeah-yeah-yeah-yeah (Uh, uh-uh) (Let there be light) Yeah (Uh-uh), yeah (Uh, uh-uh), yeah Yeah-yeah-yeah-yeah  Bang-bang, that's depression at the door again You know he'll beat the door down till you let him in the room Since you are already acquainted, you skip the foreplay He grips you at the neck as you prepare to be screwed You try to muster a flare, to tell somebody you're sinking But anxiety is an index finger pressed to your lips A whiskey bottle, it whispers, since you're already bitter A cocktail fit for a quitter, 'Come here and give me a kiss'  I see a sad little sinner in the mirror The devil works hard like my liver I don't wanna be alive, but I don't wanna die A fistful of pills and rivers in my eyes I've got nothin' left to lose, dear God in the sky Hear my cry, hear my cry When it's too dark to see Let there be light, let there be light Let there be light  Post- Yeah (Uh-uh), yeah (Uh, yeah-yeah), yeah Yeah-yeah-yeah-yeah (Uh, uh-uh) (Let there be light) Yeah (Uh-uh), yeah (Uh, yeah-yeah), yeah Yeah-yeah-yeah-yeah (Uh, uh-uh)  Yes, I edit my pictures to make my waist look slimmer And make my ass look bigger so that I'm someone you aspire to Let me in your algorithm, please I know I'll only be important if I'm someone you would like, follow, share, and subscribe to If you're thirsty like me (Like me) Mix some pity with some self-hate Stir it up, then add twelve ounces of rosé That's how I make the glass half-empty and drink it down  3 Beneath the curse words and the insecurities Here lies a sorry little soul And she doesn't even know what to pray for Still just a heart-broke bitch But I traded the back of the nightclub, I did, for the bathroom floor I wish I could call my ex He would know just what to say (He don't say nothing at all now) Brings a tear to my eye The only thing I rely on him to do is stay declining my calls now  I see a sad little sinner in the mirror The devil works hard, like my liver I don't wanna be alive, but I don't wanna die A fistful of pills and rivers in my eyes I've got nothin' left to lose, dear God in the sky Hear my cry, hear my cry When it's too dark to see (Let there be light) Let there be light, let there be light Let there be light Bridge Little girls that have no self-esteem A little boy without a father tries to find him in the streets A girl I used to walk to school with Took her life, now rest in peace (Rest in peace) Fake democracy, killing overseas Killing ourselves, suicide Government lies, discrimination Hating ourselves Why hope? Why keep going? Why try? (Why?) Genesis one, verse three, I'll dry my eyes The only thing which darkness cannot coexist is the light  I see a sad little sinner in the mirror The devil works hard like my liver I don't wanna be alive, but I don't wanna die A fistful of pills and rivers in my eyes I've got nothin' left to lose, dear God in the sky Hear my cry, would you hear my cry? When it's too dark to see (Let there be light) Let there be light, let there be light Let there be light Part III  Yeah No, no, no I want that light, oh, ayy (Let there be light) Oh, let there be, oh Oh, that light  See, I want that light in my house (Oh, let there be light) I want that light in my car (Oh, let there be light) I want that light in my pain (Oh, let there be light) I want that light when it's dark, dark, da-dark Oh, no, let there be (Oh, let there be) Oh, let there be (Oh, let there be) Oh, li-light No, no, no, no, no, no, let there, let there be light  For all the fathers and the teachers (Working hard in the night) For all the builders and the cleaners (I pray, 'Let there be light') Oh, for all the farmers and the chefs and the train-drivers, yes The nurses and the doctors, God bless the NHS Let the pay rise, let the pay rise up Let there be li-li-li-light For all those overworked and underpaid and dreams of somewhere out of sight Let there be light Single mother, all alone (She's all alone) The baby's cryin' And she's cryin' tears too, to her sister on the phone Bring her comfort, bring her peace I pray Lord, please, yeah, yeah Bridge Da-da-doo, da-doo, da-doo, da-doo, doo-doo-doo, doo-doo-doo (Now that's what I'm talking about) Oh, let there be Lord, let there be Don't we all need a little?  See, I want that, that light in my house, (Oh, let there be light) I want that light in my car, yeah (Oh, let there be light) I want that light in my dreams, yeah, doo-de Oh, baby, light all the dark, yes Light up the dark, Lord (Oh, let there be light) Let there be light, Lord  Doo-doo-doo, doo-doo-doo, doo-doo-doo, doo-doo-doo Do-do-do, do-do-do, do-do-do Ooh, hey",1.0,1160,0.164,0.705,0.132,-0.9957,Pop,11-20,0,0.9366521138501263,0.6318532668196547,1.0
