Country,Population
World,"8,119,000,000"
China,"1,409,670,000"
"1,404,910,000",17.2%
United States,"335,893,238"
Indonesia,"282,477,584"
Pakistan,"241,499,431"
Nigeria,"223,800,000"
Brazil,"203,080,756"
Bangladesh,"169,828,911"
Russia,"146,150,789"
Mexico,"129,940,228"
Japan,"123,790,000"
Philippines,"114,163,719"
Ethiopia,"109,499,000"
Egypt,"105,914,499"
Democratic Republic of the Congo,"105,247,000"
Vietnam,"100,309,210"
Iran,"85,961,000"
Turkey,"85,372,377"
Germany,"84,708,010"
France,"68,551,000"
United Kingdom,"68,265,209"
Thailand,"65,969,270"
South Africa,"63,015,904"
Tanzania,"61,741,120"
Italy,"58,968,499"
Myanmar,"56,712,559"
Colombia,"52,695,952"
Kenya,"52,428,290"
South Korea,"51,248,233"
Sudan,"50,448,963"
Spain,"48,946,035"
Argentina,"47,067,441"
Algeria,"46,700,000"
Uganda,"45,935,046"
Iraq,"44,414,800"
Canada,"41,288,599"
Poland,"37,532,000"
Morocco,"37,369,652"
Uzbekistan,"37,355,356"
Angola,"35,121,734"
Afghanistan,"34,262,840"
Malaysia,"34,112,400"
Peru,"34,038,457"
Ukraine,"33,443,000"
Mozambique,"33,244,414"
Ghana,"33,007,618"
Yemen,"32,305,264"
Saudi Arabia,"32,175,224"
Madagascar,"30,811,969"
Ivory Coast,"29,389,150"
Nepal,"29,164,578"
Cameroon,"28,758,503"
Venezuela,"28,405,543"
Australia,"27,122,411"
Niger,"26,312,034"
North Korea,"25,950,000"
Syria,"24,672,760"
Burkina Faso,"23,409,015"
Taiwan,"23,402,804"
Mali,"22,395,489"
Sri Lanka,"21,916,000"
Malawi,"20,270,568"
Kazakhstan,"20,223,218"
Chile,"20,086,377"
Zambia,"19,610,769"
Romania,"19,064,409"
Somalia,"19,009,151"
Chad,"18,675,547"
Senegal,"18,126,390"
Netherlands,"18,038,726"
Guatemala,"17,843,132"
Cambodia,"17,336,307"
Ecuador,"16,938,986"
Zimbabwe,"16,751,469"
South Sudan,"15,254,268"
Rwanda,"13,798,561"
Guinea,"13,261,638"
Benin,"12,910,087"
Burundi,"12,837,740"
Haiti,"12,394,537"
Bolivia,"12,332,252"
Tunisia,"11,887,412"
Belgium,"11,861,621"
Papua New Guinea,"11,781,559"
Jordan,"11,516,000"
Cuba,"11,089,511"
Czech Republic,"10,879,069"
Dominican Republic,"10,771,504"
United Arab Emirates,"10,678,556"
Portugal,"10,639,726"
Sweden,"10,582,576"
Greece,"10,413,982"
Tajikistan,"10,277,100"
Azerbaijan,"10,200,013"
Israel,"10,002,000"
Honduras,"9,892,632"
Hungary,"9,584,627"
Austria,"9,198,124"
Belarus,"9,155,978"
Switzerland,"9,002,763"
Sierra Leone,"8,884,032"
Togo,"8,095,498"
Laos,"7,546,000"
Hong Kong  (S.A.R. of China),"7,531,800"
Libya,"7,381,023"
Kyrgyzstan,"7,161,900"
Turkmenistan,"7,057,841"
Nicaragua,"6,803,886"
Serbia,"6,605,168"
Central African Republic,"6,470,307"
Bulgaria,"6,445,481"
El Salvador,"6,351,000"
Republic of the Congo,"6,142,180"
Paraguay,"6,109,644"
Singapore,"6,036,900"
Denmark,"5,989,985"
Finland,"5,635,560"
Norway,"5,585,044"
Lebanon,"5,490,000"
Palestine,"5,483,450"
Slovakia,"5,421,272"
Ireland,"5,380,300"
New Zealand,"5,348,600"
Costa Rica,"5,309,625"
Oman,"5,252,608"
Liberia,"5,248,621"
Mauritania,"4,927,532"
Kuwait,"4,913,271"
Panama,"4,064,780"
Croatia,"3,859,686"
Georgia,"3,694,600"
Eritrea,"3,535,603"
Mongolia,"3,504,741"
Uruguay,"3,444,263"
Bosnia and Herzegovina,"3,264,873"
Puerto Rico (unincorporated U.S. territory),"3,205,691"
Armenia,"3,039,700"
Namibia,"3,022,401"
Lithuania,"2,896,438"
Qatar,"2,857,822"
Jamaica,"2,825,544"
Moldova,"2,423,300"
Gambia,"2,417,471"
Botswana,"2,410,338"
Gabon,"2,408,586"
Albania,"2,402,113"
Lesotho,"2,306,000"
Slovenia,"2,126,324"
Latvia,"1,857,400"
North Macedonia,"1,826,247"
Guinea-Bissau,"1,781,308"
Kosovo,"1,762,220"
Bahrain,"1,588,670"
Equatorial Guinea,"1,558,160"
Estonia,"1,374,687"
East Timor,"1,373,024"
Trinidad and Tobago,"1,368,333"
Mauritius,"1,259,509"
Eswatini,"1,235,549"
Djibouti,"1,001,454"
Cyprus,"918,100"
Fiji,"900,869"
Comoros,"900,141"
Bhutan,"777,224"
Guyana,"772,975"
Solomon Islands,"750,325"
Macau  (S.A.R. of China),"686,600"
Luxembourg,"672,020"
Montenegro,"623,633"
Suriname,"616,500"
Western Sahara,"590,506"
Malta,"542,051"
Maldives,"515,132"
Cape Verde,"491,233"
Northern Cyprus,"476,214"
Brunei,"450,500"
Belize,"410,919"
Bahamas,"398,165"
Iceland,"388,790"
Transnistria,"360,938"
Vanuatu,"321,409"
French Polynesia (France),"279,890"
New Caledonia (France),"268,510"
Barbados,"267,800"
Abkhazia,"244,236"
São Tomé and Príncipe,"228,319"
Samoa,"205,557"
Saint Lucia,"184,100"
Curaçao (Netherlands),"155,826"
Guam (US),"153,836"
Seychelles,"121,355"
Kiribati,"120,740"
Grenada,"112,579"
Saint Vincent and the Grenadines,"110,872"
Aruba (Netherlands),"107,566"
Micronesia,"105,754"
Antigua and Barbuda,"103,603"
Jersey (UK),"103,267"
Tonga,"100,179"
U.S. Virgin Islands (US),"87,146"
Andorra,"86,801"
Cayman Islands (UK),"84,738"
Isle of Man (UK),"84,530"
Dominica,"67,408"
Guernsey (UK),"64,769"
Bermuda (UK),"64,055"
Greenland (Denmark),"56,865"
South Ossetia,"56,520"
Faroe Islands (Denmark),"54,908"
Saint Kitts and Nevis,"51,320"
American Samoa (US),"49,710"
Turks and Caicos Islands (UK),"49,309"
Northern Mariana Islands (US),"47,329"
Marshall Islands,"42,418"
Sint Maarten (Netherlands),"41,349"
Liechtenstein,"40,023"
Monaco,"38,367"
Gibraltar (UK),"34,003"
San Marino,"33,984"
Saint Martin (France),"32,358"
British Virgin Islands (UK),"31,538"
Palau,"16,733"
Anguilla (UK),"15,780"
Cook Islands,"15,040"
Nauru,"11,680"
Wallis and Futuna (France),"11,620"
Tuvalu,"10,679"
Saint Barthélemy (France),"10,585"
Saint Pierre and Miquelon (France),"6,092"
"Saint Helena, Ascension and Tristan da Cunha (UK)","5,651"
Montserrat (UK),"4,386"
Falkland Islands (UK),"3,662"
Norfolk Island (Australia),"2,188"
Christmas Island (Australia),"1,692"
Niue (New Zealand),"1,681"
Tokelau (New Zealand),"1,647"
Vatican City,764
Cocos (Keeling) Islands (Australia),593
Pitcairn Islands (UK),35
