Track Name,Artists
"Good Luck, Babe!",Chappell Roan
Not Like Us,Kendrick Lamar
A Bar Song (Tipsy),Shaboozey
Espresso,Sabrina Carpenter
BIRDS OF A FEATHER,Billie Eilish
Too Sweet,Hozier
Nasty,Tinashe
Pink Skies,Zach Bryan
"Girl, so confusing featuring lorde",Charli xcx & Lorde
Right Back to It,Waxahatchee & MJ Lenderman
YA YA,Beyoncé
Type Shit,Future & Metro Boomin & Travis Scott & Playboi Carti
we can't be friends (wait for your love),Ariana Grande
Docket (feat. Bully),Blondshell & Bully
euphoria,Kendrick Lamar
Genesis.,RAYE
Disease,Lady Gaga
Juna,Clairo
Taste,Sabrina Carpenter
Gata Only,FloyyMenor & Cris Mj
APT.,ROSÉ & Bruno Mars
Diet Pepsi,Addison Rae
Angel Of My Dreams,JADE
She's Leaving You,MJ Lenderman
HISS,Megan Thee Stallion
Von dutch,Charli xcx
I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen
Tough,Quavo & Lana Del Rey
TGIF,GloRilla
Modern Woman,Eliza McLamb
Company Culture,Lambrini Girls
Always and Forever (feat. Hannah Diamond),SOPHIE & Hannah Diamond
The Prophecy,Taylor Swift
Fisherrr - Remix,Cash Cobain & Ice Spice & Bay Swag
How Sweet,NewJeans
Never Lose Me (feat. SZA & Cardi B),Flo Milli & SZA & Cardi B
Darkest Hour (Helene Edit),Eric Church
obsessed,Olivia Rodrigo
Igual Que Un Ángel (with Peso Pluma),Kali Uchis & Peso Pluma
Enough (Miami),Cardi B
Si Antes Te Hubiera Conocido,KAROL G
Bon Bon,Fcukers
Driver,Soccer Mommy
Anything,Griff
Saturn,SZA
Austin,Dasha
TRYIN' MY HARDEST,SiR
BYE BYE,Kim Gordon
In The Wawa (Convinced I Am God),Lip Critic
Perfume,The Dare
Get It Sexyy,Sexyy Red
Active,Asake & Travis Scott
Cardinal,Kacey Musgraves
Never Need Me,Rachel Chinouriri
World on a String,Jessica Pratt
Cómo Dónde y Cuándo,Shakira
Starburster,Fontaines D.C.
Get In With Me,BossMan Dlow
Like I Say (I runaway),Nilüfer Yanya
"I Love You, I'm Sorry",Gracie Abrams
215634,Elvie Shane
Love Me JeJe,Tems
Family Matters,Drake
The Lighthouse,Stevie Nicks
It Was Always You (Siempre Fuiste Tú),Carin Leon & Leon Bridges
Soup,Remi Wolf
Fine Art,KNEECAP
DENIAL IS A RIVER,Doechii
Tshwala Bam (feat. S.N.E & Eeque),TitoM & Yuppe & S.N.E & EeQue
New Woman (feat. ROSALÍA),LISA & ROSALÍA
Beaches,beabadoobee
JOYRIDE,Kesha
Forever,Hovvdy
Lagos Love Story,Ayra Starr
Fun!,May Rio & Elegant Ensemble
Wanting and Waiting,The Black Crowes
Carousel Horses,Christian Lee Hutson
No One Else (feat. Jeremih),Lola Brooke & Jeremih
Training Season,Dua Lipa
Midas,Wunderhorse
Those Damn Roches,Linda Thompson & Teddy Thompson
Piece of My Heart (feat. Brent Faiyaz),Wizkid & Brent Faiyaz
Can't Be Still,illuminati hotties
Radio Wave,Silverada
Ajhussi,Flying Lotus
California Highway 99,The Softies
Use Me,Zach Top
Masquerade,Original Cast of Stereophonic & Tom Pecinka & Will Brill & Juliana Canfield & Sarah Pidgeon & Chris Stack & Will Butler & Justin Craig
Milk,Abby Sage
Dammit Randy,Miranda Lambert
KEHLANI (REMIX) [feat. Kehlani],Jordan Adetunji & Kehlani
That's My Floor,Magdalena Bay
In Front of Me Now,Nada Surf
Big Dawgs,Hanumankind & Kalmi
On The Game,The Black Keys
After Hours,Kehlani
XO (Only If You Say Yes),ENHYPEN
Britpop,A. G. Cook
ADIVINO,Myke Towers & Bad Bunny
Beautiful Things,Benson Boone
